Alloy,Diff. Lattice Constants,Diff. Melting Point,Mixing Enthalpy,Lattice Constants,Lambda,Diff. in atomic radii,Omega,Melting Temp.,Diff. Electronegativity,Mixing Entropy,Valence electron,Young's Mod (GPa)
Al0.5CoCrCuFeNi,0.487879755,346.0876534,-4.812658235,3.172258995,0.845567528,4.169228707,5.170544116,1693.017839,0.109326052,14.69805051,8.27281,161.1
Al0.3CoCrFeNi,0.44991283,295.63915,-9.874659685,3.028509071,0.908382129,3.757615962,2.346185214,1806.304922,0.107517119,12.8260629,7.88379,168
Al0.5CrCuFeNi2,0.38197471,344.8532673,-5.80190116,3.357151753,0.714538675,4.199646404,3.661615654,1685.745039,0.113093813,12.60233999,8.45463,172.1
CoCrFeNi ,0.365442957,180.3723579,-3.701,2.9519,126.282311,0.302115885,5.829326737,1871.75,0.096695398,11.52629264,8.25,173.9
NiCoCr,0.418116715,204.2994109,-5.023455085,2.980336863,337.3141348,0.164559081,3.440269881,1891.98108,0.111454466,9.134362606,8.33325,174.4
FeNi,0.32875,41.5,-1.5,3.19525,142.5841359,0.201045436,6.798591611,1769.5,0.04,5.763146322,9,174.4
FeNiCo,0.421049517,33.89181583,-1.012868631,2.965837008,85.08831546,0.327645465,15.95322964,1768.98231,0.032998151,9.134362606,8.99991,173.8
NiCo,0.50845,20,-0.218,3.01555,143.7330767,0.200240288,46.21091638,1748,0.015,5.763146322,9.5,171
AlCoCrCuFeNi,0.526292614,392.256328,-10.33852464,3.24539824,0.534140158,5.28118341,2.34842823,1629.739261,0.119083329,14.89764879,7.83349,171.7
Al0.5CoCrCuFeNi,0.487879755,346.0876534,-4.812658235,3.172258995,0.845567528,4.169228707,5.170544116,1693.017839,0.109326052,14.69805051,8.27281,173.3
AlCo0.5CrCuFeNi,0.49810869,407.3749628,-10.45753146,3.312478579,0.495194504,5.448060981,2.272903793,1617.150717,0.121689821,14.69805051,7.72735,71.6
AlCoCr0.5CuFeNi,0.53945271,371.2395038,-10.9516901,3.27585094,0.496652965,5.440055763,2.120079038,1579.695797,0.116499084,14.69805051,8.00008,161.1
AlCoCrCu0.5FeNi,0.537229967,400.6459347,-13.92735292,3.211768481,0.483628039,5.512824057,1.745996694,1654.444726,0.120186407,14.69805051,7.54553,121.1
AlCoCrCuFe0.5Ni,0.536589457,405.6987567,-11.53523897,3.279805525,0.503390414,5.403527886,2.055571315,1613.241587,0.123977424,14.69805051,7.81826,178.6
AlCoCrCuFeNi0.5,0.542641538,408.5252689,-9.832791694,3.2200322,0.499007614,5.427205693,2.422751509,1620.787117,0.119302976,14.69805051,7.63644,115.5
CuNiCoFeCrAl0.5,0.490213128,353.5447481,-4.812658235,3.172258995,0.787811534,4.319353021,5.170544116,1693.017839,0.112676505,14.69805051,8.27281,174.4
CuNiCoFeCrAl0.5V0.2,0.48216615,358.5536155,-5.690858695,3.16726824,0.841267303,4.284931787,4.641880533,1710.211907,0.115714425,15.44620645,8.15797,141.1
CuNiCoFeCrAl0.5V0.4,0.474500243,362.4436134,-6.441161858,3.16258865,0.872781081,4.249747288,4.224382422,1726.21905,0.118160444,15.76273355,8.05081,71.9
CuNiCoFeCrAl0.5V0.6,0.467182259,365.4154926,-7.081869481,3.15817874,0.896785076,4.21400691,3.915340285,1741.159562,0.12012951,15.92497866,7.95063,130.9
CuNiCoFeCrAl0.5V0.8,0.460200422,367.6430006,-7.629998328,3.15417164,0.91633374,4.178125142,3.679789599,1755.217196,0.121712911,15.99619042,7.85713,166.7
CuNiCoFeCrAl0.5V1.0,0.453512744,369.2421648,-8.097819493,3.150404665,0.932950594,4.142080483,3.495539773,1768.424927,0.122977113,16.00647541,7.76941,127.8
CuNiCoFeCrAl0.5V1.2,0.447106232,370.3232865,-8.497332231,3.14669531,0.947337489,4.106266138,3.347437357,1780.722089,0.123971939,15.9734568,7.68639,257.3
CuNiCoFeCrAl0.5V1.4,0.440965451,370.9693606,-8.837352449,3.143396695,0.960156174,4.070603413,3.226877726,1792.442452,0.124748609,15.90960744,7.6088,218
CuNiCoFeCrAl0.5V1.6,0.435072849,371.2524351,-9.126412145,3.140235415,0.971655835,4.035351841,3.126667361,1803.459862,0.12533661,15.82250627,7.53541,130.5
CuNiCoFeCrAl0.5V1.8,0.429404056,371.2249663,-9.370945222,3.13721593,0.982143855,4.000460556,3.042398247,1813.862543,0.12576561,15.71792054,7.46593,136.6
CuNiCoFeCrAl0.5V2.0,0.423950333,370.9381172,-9.576904681,3.13427219,0.991758961,3.966075098,2.970598154,1823.648239,0.126057566,15.60012219,7.39988,128
FeNiCrCuCo,0.420915531,261.3339252,3.24048,3.0845,12.53535219,1.033203661,7.3049224,1768.954,0.092217135,13.38161136,8.8,112
